"SmedID","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","annotations","tissue"
"SMED30009956",2.27419703300664e-248,0.262906677703827,0.501,0.231,7.65699399043004e-244,23,"Expressed conserved protein","Protonephridia"
"SMED30009956",8.51370141143837e-247,-0.303034620315848,0.09,0.238,2.86647812821719e-242,9,"Expressed conserved protein","Muscle"
"SMED30009956",0,0.971523891053055,0.78,0.185,0,2,"Expressed conserved protein","Epidermis"
"SMED30009956",8.02162484706045e-66,-0.264808304704992,0.106,0.235,2.70080086975678e-61,24,"Expressed conserved protein","Muscle"
"SMED30009956",1.22168915777888e-20,-0.30321231179454,0.084,0.234,4.11330522532572e-16,73,"Expressed conserved protein","Protonephridia"
"SMED30009956",1.25495682166179e-28,-0.270133933730817,0.106,0.235,4.22531412285308e-24,52,"Expressed conserved protein","Neural"
"SMED30009956",0,0.314371453624715,0.567,0.229,0,17,"Expressed conserved protein","Epidermis"
"SMED30009956",0,-0.260375130240318,0.122,0.245,0,0,"Expressed conserved protein","Muscle"
"SMED30009956",0,-0.266506144399196,0.117,0.241,0,3,"Expressed conserved protein","Protonephridia"
"SMED30009956",1.96202502145415e-26,-0.265902952957622,0.105,0.235,6.60594204473397e-22,56,"Expressed conserved protein","Neural"
"SMED30009956",1.33477178511167e-221,-0.279695562847647,0.107,0.238,4.49404312329249e-217,8,"Expressed conserved protein","Neural"
"SMED30009956",5.61769049293706e-20,-0.256337578602761,0.118,0.234,1.89142021206698e-15,60,"Expressed conserved protein","Neural"
"SMED30009956",4.60815382741591e-11,-0.289614649634973,0.101,0.234,1.55151931215266e-06,84,"Expressed conserved protein","Parenchymal"
"SMED30009956",0,-0.312786904825886,0.089,0.242,0,4,"Expressed conserved protein","Stem Cells"
"SMED30009956",0,0.401511558838142,0.502,0.231,0,21,"Expressed conserved protein","Epidermis"
"SMED30010012",0,0.870105832146821,0.618,0.001,0,41,"Gamma-aminobutyric acid receptor subunit gamma-2","Neural"
"SMED30010017",0,0.366780568766488,0.512,0.2,0,31,"E3 ubiquitin-protein ligase TRIP12-like Protein","Cathepsin"
"SMED30010061",0,0.347253190934535,0.371,0.057,0,31,"APOBEC1 complementation factor","Cathepsin"
"SMED30010071",0,0.529252274732237,0.465,0.045,0,2,"Sodium/potassium-transporting ATPase subunit alpha","Epidermis"
"SMED30010096",4.73215657211193e-184,0.255092712059804,0.303,0.062,1.59326979626437e-179,63,"TPA_inf: prohormone convertase 2","Neural"
"SMED30010096",0,0.482280776099242,0.461,0.061,0,62,"TPA_inf: prohormone convertase 2","Neural"
"SMED30010096",0,0.386671772923682,0.424,0.059,0,26,"TPA_inf: prohormone convertase 2","Neural"
"SMED30010096",1.62209962258913e-237,0.263269446183444,0.311,0.062,5.46144721929534e-233,59,"TPA_inf: prohormone convertase 2","Neural"
"SMED30010111",0,0.723078679066306,0.545,0.003,0,28,"TPA_inf: neuropeptide precursor-2","Neural"
"SMED30010117",0,0.474762300004375,0.392,0.023,0,23,NA,"Protonephridia"
"SMED30010122",0,0.638559160492093,0.477,0.048,0,51,"Aminopeptidase N","Neural"
"SMED30010122",0,0.596075272036504,0.483,0.048,0,59,"Aminopeptidase N","Neural"
"SMED30010122",0,0.271061697219386,0.283,0.049,0,49,"Aminopeptidase N","Neural"
"SMED30010123",0,0.260242200757795,0.263,0.014,0,23,"Sodium/potassium-transporting ATPase subunit beta-2","Protonephridia"
"SMED30010149",0,0.316787673886723,0.353,0.066,0,2,"Ankyrin repeat and protein kinase domain-containing protein 1","Epidermis"
"SMED30010180",0,0.569425137641822,0.419,0.037,0,2,NA,"Epidermis"
"SMED30010180",0,0.253067580636784,0.246,0.066,0,21,NA,"Epidermis"
"SMED30010239",0,0.273779200415889,0.361,0.116,0,2,NA,"Epidermis"
"SMED30010239",0,0.45109042630543,0.539,0.114,0,3,NA,"Protonephridia"
"SMED30010239",0,0.500057019723666,0.51,0.128,0,11,NA,"Protonephridia"
"SMED30010239",1.21096445479517e-127,0.277069081759217,0.472,0.136,4.07719622284987e-123,73,NA,"Protonephridia"
"SMED30010350",0,0.552206361690223,0.331,0.021,0,6,NA,"Intestine"
"SMED30010375",3.21096300378886e-38,-0.371034349744346,0.299,0.511,1.08109913374567e-33,66,"cytochrome c oxidase subunit I","Parenchymal"
"SMED30010375",0,0.409730774807764,0.783,0.506,0,13,"cytochrome c oxidase subunit I","Epidermis"
"SMED30010375",0,0.574197443631616,0.821,0.494,0,4,"cytochrome c oxidase subunit I","Stem Cells"
"SMED30010375",2.57597331232016e-203,-0.267080915779232,0.402,0.515,8.67304454525076e-199,7,"cytochrome c oxidase subunit I","Neural"
"SMED30010375",3.06654846075136e-84,-0.282935561933457,0.388,0.512,1.03247620125038e-79,20,"cytochrome c oxidase subunit I","Neural"
"SMED30010375",3.31676514912251e-147,0.399649643270432,0.673,0.509,1.11672165805806e-142,23,"cytochrome c oxidase subunit I","Protonephridia"
"SMED30010375",2.45768916704736e-186,0.287273029350433,0.698,0.508,8.27479365653176e-182,17,"cytochrome c oxidase subunit I","Epidermis"
"SMED30010375",7.71236195009586e-307,0.312578442129723,0.696,0.507,2.59667514497777e-302,11,"cytochrome c oxidase subunit I","Protonephridia"
"SMED30010404",0,1.25664237548929,0.655,0.017,0,17,NA,"Epidermis"
"SMED30010405",0,0.288935285670466,0.217,0.02,0,2,NA,"Epidermis"
"SMED30010415",0,0.956406971562937,0.522,0.011,0,17,"pmp-10","Epidermis"
"SMED30010425",0,0.350429849102588,0.345,0.006,0,12,"Amiloride-sensitive cation channel 4-A","Neural"
"SMED30010468",7.6513618130848e-306,0.494506859827342,0.313,0.069,2.57613700884752e-301,45,"E3 ubiquitin-protein ligase RNF216","Cathepsin"
"SMED30010499",2.58232047340831e-45,-0.261169391722619,0.17,0.259,8.69441480191845e-41,17,NA,"Epidermis"
"SMED30010499",0,0.749309636265432,0.755,0.209,0,0,NA,"Muscle"
"SMED30010499",1.50739359981757e-82,-0.250604563518784,0.165,0.26,5.07524351122578e-78,10,NA,"Cathepsin"
"SMED30010499",4.1151222977625e-32,-0.278722438682154,0.156,0.258,1.38552052643365e-27,29,NA,"Neural"
"SMED30010499",3.63215356314203e-38,-0.259403738691721,0.16,0.258,1.22290978317429e-33,22,NA,"Parenchymal"
"SMED30010499",6.01415533261941e-30,-0.285818410016991,0.149,0.258,2.02490595893963e-25,37,NA,"Neural"
"SMED30010499",2.75478192153326e-84,-0.291926530255194,0.152,0.259,9.27507525161033e-80,13,NA,"Epidermis"
"SMED30010499",3.70701048941662e-19,-0.272109662796496,0.155,0.258,1.24811336168168e-14,51,NA,"Neural"
"SMED30010499",9.20194144342863e-24,-0.260883522523462,0.154,0.258,3.09820166458799e-19,41,NA,"Neural"
"SMED30010499",0,-0.390424700550483,0.119,0.27,0,2,NA,"Epidermis"
"SMED30010499",3.36277877493229e-10,-0.302872783374104,0.124,0.258,1.13221398573195e-05,84,NA,"Parenchymal"
"SMED30010499",1.54832760659747e-18,-0.314013700677782,0.145,0.258,5.21306421865303e-14,60,NA,"Neural"
"SMED30010499",4.98762627239294e-38,-0.265289837801929,0.163,0.258,1.67928388965198e-33,23,NA,"Protonephridia"
"SMED30010499",4.17263356622846e-12,-0.274209766993604,0.163,0.258,1.40488399541346e-07,61,NA,"Neural"
"SMED30010499",0.000271984013831553,-0.267645177221889,0.165,0.258,1,87,NA,"Neural"
"SMED30010499",1.05385893484575e-43,-0.276450127857753,0.147,0.258,3.54823764773215e-39,26,NA,"Neural"
"SMED30010499",0,0.499834640800292,0.684,0.253,0,24,NA,"Muscle"
"SMED30010499",0,-0.432065976672708,0.087,0.267,0,3,NA,"Protonephridia"
"SMED30010499",1.05066742514073e-19,-0.314025197683944,0.129,0.258,3.53749215370631e-15,62,NA,"Neural"
"SMED30010499",1.81044128927558e-32,-0.291593136128194,0.146,0.258,6.09557477686196e-28,35,NA,"Neural"
"SMED30010499",6.3515938110981e-73,-0.304723860475575,0.129,0.259,2.13851812025862e-68,20,NA,"Neural"
"SMED30010499",1.24118604450842e-133,-0.270888278592221,0.16,0.261,4.17894929325541e-129,6,NA,"Intestine"
"SMED30010499",3.58894275408933e-09,-0.254047083079663,0.144,0.258,0.000120836113587434,81,NA,"Neural"
"SMED30010499",1.02581629815506e-138,-0.316602203654739,0.132,0.26,3.45382089425826e-134,11,NA,"Protonephridia"
"SMED30010499",1.85602266738912e-183,-0.290219940899552,0.141,0.262,6.24904271883244e-179,7,NA,"Neural"
"SMED30010499",7.93337735842291e-120,-0.317969049919598,0.135,0.26,2.67108882280741e-115,12,NA,"Neural"
"SMED30010499",7.12653161586953e-22,-0.278828922725172,0.16,0.258,2.39943192974711e-17,42,NA,"Parenchymal"
"SMED30010499",2.45729188617089e-39,-0.359314395421444,0.097,0.258,8.27345605154876e-35,52,NA,"Neural"
"SMED30010499",1.96011121160933e-139,-0.283428764811139,0.157,0.261,6.59949843836746e-135,8,NA,"Neural"
"SMED30010499",6.24838594152861e-05,-0.253298152738051,0.173,0.258,1,85,NA,"Neural"
"SMED30010499",2.73014908979373e-201,0.656968467736989,0.762,0.256,9.19213897042653e-197,73,NA,"Protonephridia"
"SMED30010499",0,1.48577308884402,0.95,0.237,0,9,NA,"Muscle"
"SMED30010499",1.24655544981307e-15,-0.251569463612153,0.161,0.258,4.19702754397564e-11,54,NA,"Neural"
"SMED30010499",2.53764503159885e-08,-0.259303631577786,0.16,0.258,0.000854399705689017,79,NA,"Neural"
"SMED30010499",1.99687941315283e-10,-0.273452691932207,0.166,0.258,6.72329329614428e-06,66,NA,"Parenchymal"
"SMED30010503",0,0.39229703236602,0.457,0.083,0,3,"Centrosomal protein of 135 kDa","Protonephridia"
"SMED30010503",0,0.353346392732348,0.433,0.091,0,7,"Centrosomal protein of 135 kDa","Neural"
"SMED30010519",0,0.651825973214125,0.648,0.087,0,35,"Cadherin EGF LAG seven-pass G-type receptor 1","Neural"
"SMED30010519",0,1.54446196108742,0.908,0.062,0,7,"Cadherin EGF LAG seven-pass G-type receptor 1","Neural"
"SMED30010523",0,-0.257446489149213,0.648,0.779,0,2,NA,"Epidermis"
"SMED30010523",2.59613828363668e-13,0.253332565014698,0.893,0.768,8.74093798717636e-09,87,NA,"Neural"
"SMED30010523",0,-0.331749930798141,0.652,0.775,0,3,NA,"Protonephridia"
"SMED30010523",3.27737964117155e-140,0.425602191264228,0.937,0.767,1.10346095138605e-135,56,NA,"Neural"
"SMED30010523",0,0.388792156462607,0.929,0.763,0,8,NA,"Neural"
"SMED30010523",7.86215554953909e-35,-0.299571527193556,0.648,0.768,2.64710915197432e-30,66,NA,"Parenchymal"
"SMED30010523",2.5707868836202e-37,0.261685931807133,0.878,0.768,8.65558235846086e-33,61,NA,"Neural"
"SMED30010523",6.11275518867729e-22,0.252844047960286,0.869,0.768,2.05810354447576e-17,63,NA,"Neural"
"SMED30010561",0,0.668821935891882,0.356,0.062,0,38,NA,"Neural"
"SMED30010561",0,0.299722778927045,0.301,0.056,0,9,NA,"Muscle"
"SMED30010561",1.79526426651686e-240,0.38729487782657,0.408,0.063,6.04447525893563e-236,79,NA,"Neural"
"SMED30010561",4.13475344390777e-297,0.892521162603397,0.29,0.062,1.39213013702931e-292,43,NA,"Parenchymal"
"SMED30010562",0,0.628772222859233,0.392,0.013,0,55,NA,"Cathepsin"
"SMED30010623",0,0.306504088947385,0.227,0.001,0,21,NA,"Epidermis"
"SMED30010646",8.77313464602119e-179,0.279038498932293,0.321,0.061,2.95382670396887e-174,71,NA,"Neural"
"SMED30010646",0,0.285979112678021,0.351,0.06,0,37,NA,"Neural"
"SMED30010682",0,1.47290145380844,0.558,0.002,0,67,NA,"Parenchymal"
"SMED30010755",0,0.401082288552856,0.437,0.039,0,9,"ADAMTS-like protein 3","Muscle"
"SMED30010777",0,0.57718861298489,0.455,0.077,0,19,NA,"Neural"
"SMED30010777",1.4749645641185e-95,0.318027743055285,0.288,0.081,4.96605819093058e-91,70,NA,"Neural"
"SMED30010804",0,0.336122916646381,0.314,0.002,0,52,"Dynein heavy chain 5, axonemal","Neural"
"SMED30010835",0,0.502643535027112,0.572,0.055,0,73,"Cadherin-23","Protonephridia"
"SMED30010835",0,0.703191766629034,0.625,0.024,0,3,"Cadherin-23","Protonephridia"
"SMED30010835",4.58794812649105e-156,0.269814281025193,0.225,0.055,1.54471625470827e-151,50,"Cadherin-23","Neural"
"SMED30010855",1.61865434760227e-306,0.488527966113089,0.653,0.14,5.44984732294208e-302,73,"Receptor-type tyrosine-protein phosphatase S","Protonephridia"
"SMED30010855",0,0.66107923165772,0.645,0.112,0,3,"Receptor-type tyrosine-protein phosphatase S","Protonephridia"
"SMED30010855",1.05442133406577e-219,0.283218403525678,0.411,0.139,3.55013118966605e-215,41,"Receptor-type tyrosine-protein phosphatase S","Neural"
"SMED30010855",0,0.567269651772738,0.569,0.131,0,11,"Receptor-type tyrosine-protein phosphatase S","Protonephridia"
"SMED30010934",0,0.305755671328555,0.298,0.003,0,26,"Ectonucleoside triphosphate diphosphohydrolase 3","Neural"
"SMED30010954",0,0.256508645089569,0.284,0.01,0,84,"Ras and EF-hand domain-containing protein","Parenchymal"
"SMED30010977",0,0.345417549327795,0.375,0.055,0,3,"Tubulin beta-4B chain","Protonephridia"
"SMED30011012",0,2.00941109116807,0.646,0.012,0,36,"Lectin 2b","Parenchymal"
"SMED30011040",0,0.666375388323928,0.557,0.046,0,27,"Receptor-type tyrosine-protein phosphatase H","Cathepsin"
"SMED30011040",0,0.268449047288138,0.276,0.05,0,45,"Receptor-type tyrosine-protein phosphatase H","Cathepsin"
"SMED30011040",0,1.15015679309947,0.779,0.045,0,31,"Receptor-type tyrosine-protein phosphatase H","Cathepsin"
"SMED30011040",0,0.260280959170322,0.273,0.042,0,5,"Receptor-type tyrosine-protein phosphatase H","Cathepsin"
"SMED30011041",2.88883435774702e-30,0.445455145184299,0.375,0.236,9.72641639909844e-26,66,"Endoplasmin","Parenchymal"
"SMED30011084",0,0.323467728801626,0.355,0.037,0,3,"Epidermal growth factor receptor kinase substrate 8-like protein 1","Protonephridia"
"SMED30011140",0,0.255981104826054,0.248,0.007,0,17,"Argininosuccinate synthase","Epidermis"
"SMED30011307",0,0.277282728727032,0.133,0.001,0,46,NA,"Parenchymal"
"SMED30011308",0,0.275327741977527,0.24,0.001,0,67,NA,"Parenchymal"
"SMED30011329",0,0.498323724067298,0.483,0.023,0,3,"Tetraspanin","Protonephridia"
"SMED30011329",0,0.351070643044564,0.412,0.047,0,73,"Tetraspanin","Protonephridia"
"SMED30011329",0,0.263792051490015,0.281,0.042,0,11,"Tetraspanin","Protonephridia"
"SMED30011335",0,0.360303489733,0.447,0.102,0,3,"Dynein heavy chain 10, axonemal","Protonephridia"
"SMED30011335",0,0.306983400734337,0.418,0.114,0,12,"Dynein heavy chain 10, axonemal","Neural"
"SMED30011335",0,0.26967405227928,0.39,0.117,0,20,"Dynein heavy chain 10, axonemal","Neural"
"SMED30011335",0,0.260598538176186,0.379,0.111,0,7,"Dynein heavy chain 10, axonemal","Neural"
"SMED30011394",0,0.29453931681407,0.288,0.014,0,10,"4-aminobutyrate aminotransferase, mitochondrial","Cathepsin"
"SMED30011396",0,0.259108757271173,0.227,0.017,0,45,"Pyridine nucleotide-disulfide oxidoreductase family protein","Cathepsin"
"SMED30011418",0,1.89396193559344,0.797,0.017,0,22,"Venom allergen","Parenchymal"
"SMED30011419",0,0.377146535814328,0.368,0.009,0,13,NA,"Epidermis"
"SMED30011550",0,1.32809912081371,0.836,0.001,0,62,"Neuropeptide-18","Neural"
"SMED30011564",0,0.291396687804443,0.296,0.01,0,3,"Ras-associated and pleckstrin homology domains-containing protein 1","Protonephridia"
"SMED30011603",0,0.288932168341022,0.353,0.071,0,3,"Rho guanine nucleotide exchange factor 16","Protonephridia"
"SMED30011603",0,0.338675090435318,0.371,0.083,0,27,"Rho guanine nucleotide exchange factor 16","Cathepsin"
"SMED30011629",0,0.256458931038813,0.274,0.031,0,10,"Dual serine/threonine and tyrosine protein kinase","Cathepsin"
"SMED30011663",0,0.345519307916165,0.29,0.026,0,55,"slc1a-5","Cathepsin"
"SMED30011663",0,0.475074459037904,0.414,0.017,0,10,"slc1a-5","Cathepsin"
"SMED30011669",0,0.403699804475004,0.34,0.023,0,2,NA,"Epidermis"
"SMED30011674",0,0.36812033512204,0.42,0.069,0,9,"Papilin","Muscle"
"SMED30011674",0,0.276836510219339,0.308,0.07,0,5,"Papilin","Cathepsin"
"SMED30011674",0,0.330740412833232,0.371,0.076,0,24,"Papilin","Muscle"
"SMED30011684",6.60589136789604e-74,0.271160645168492,0.41,0.184,2.22413756465692e-69,61,"Phosphoinositide phospholipase C","Neural"
"SMED30011701",0,0.64244195309431,0.605,0.106,0,0,"Filamin","Muscle"
"SMED30011701",4.65308257243937e-194,0.407017971193335,0.577,0.149,1.56664637131461e-189,73,"Filamin","Protonephridia"
"SMED30011701",0,0.706595249780081,0.654,0.145,0,24,"Filamin","Muscle"
"SMED30011701",0,0.650576404003232,0.698,0.134,0,9,"Filamin","Muscle"
"SMED30011727",0,0.32322778411521,0.279,0.017,0,6,"Dedicator of cytokinesis 1","Intestine"
"SMED30011727",0,0.427463892415913,0.377,0.022,0,23,"Dedicator of cytokinesis 1","Protonephridia"
"SMED30011750",1.25847095223173e-91,0.271797417234972,0.332,0.11,4.237145849069e-87,65,"Phosphoinositide phospholipase C","Neural"
"SMED30011750",0,0.44624961205757,0.454,0.108,0,29,"Phosphoinositide phospholipase C","Neural"
"SMED30011750",9.87729941301581e-164,0.305508194049629,0.339,0.109,3.32558793936829e-159,48,"Phosphoinositide phospholipase C","Neural"
"SMED30011750",0,0.295240001307331,0.39,0.107,0,20,"Phosphoinositide phospholipase C","Neural"
"SMED30011750",0,0.323128272198733,0.387,0.107,0,23,"Phosphoinositide phospholipase C","Protonephridia"
"SMED30011750",0,0.506956913203019,0.487,0.109,0,51,"Phosphoinositide phospholipase C","Neural"
"SMED30011750",0,0.798381024274952,0.615,0.109,0,63,"Phosphoinositide phospholipase C","Neural"
"SMED30011770",0,0.564533052899816,0.523,0.02,0,3,NA,"Protonephridia"
"SMED30011770",0,0.414802827877822,0.489,0.045,0,73,NA,"Protonephridia"
"SMED30011827",0,0.445853582983119,0.612,0.151,0,9,"Prefoldin","Muscle"
"SMED30011827",0,0.669732917700817,0.654,0.117,0,0,"Prefoldin","Muscle"
"SMED30011827",0,0.519037291724357,0.597,0.16,0,24,"Prefoldin","Muscle"
"SMED30011827",5.77917837282589e-173,0.381140932443617,0.583,0.164,1.94579156634675e-168,73,"Prefoldin","Protonephridia"
"SMED30011851",0,0.411470188955744,0.319,0.002,0,45,NA,"Cathepsin"
"SMED30011858",0,0.562768713096515,0.407,0.002,0,22,"Venom allergen","Parenchymal"
"SMED30011875",0,0.380672476410566,0.365,0.035,0,27,"Nuclear factor 1 A-type","Cathepsin"
"SMED30012020",0,0.494666204230931,0.435,0.001,0,49,"tph","Neural"
"SMED30012043",1.57774670071373e-88,0.25692593307593,0.375,0.144,5.31211536663307e-84,61,"Calcium-transporting ATPase","Neural"
"SMED30012043",0,0.284825940750087,0.433,0.139,0,12,"Calcium-transporting ATPase","Neural"
"SMED30012043",0,0.395499562963476,0.423,0.141,0,19,"Calcium-transporting ATPase","Neural"
"SMED30012043",2.79761999103035e-157,0.274244476592931,0.4,0.144,9.4193067478001e-153,49,"Calcium-transporting ATPase","Neural"
"SMED30012043",2.96437201764499e-77,0.254273740151659,0.391,0.144,9.98074414620893e-73,71,"Calcium-transporting ATPase","Neural"
"SMED30012149",0,0.352035047896697,0.418,0.075,0,37,"NPHS1-7","Neural"
"SMED30012149",0,0.401780431473574,0.452,0.066,0,9,"NPHS1-7","Muscle"
"SMED30012180",0,0.274771784396431,0.253,0,0,70,NA,"Neural"
"SMED30012207",0,0.540871466446561,0.341,0.001,0,86,"Peptidase inhibitor 16","Neural"
"SMED30012212",0,0.325106649102245,0.479,0.17,0,13,"NADH dehydrogenase subunit 1","Epidermis"
"SMED30012212",0,0.433102961826418,0.541,0.156,0,4,"NADH dehydrogenase subunit 1","Stem Cells"
"SMED30012271",9.61953645194233e-204,0.432809193406002,0.652,0.186,3.23880172800446e-199,73,"Kynurenine/alpha-aminoadipate aminotransferase mitochondrial kat/aadat kynurenine--oxoglutarate transaminase ii kynurenine aminotransferase ii kynurenine--oxoglutarate aminotransferase ii transaminase","Protonephridia"
"SMED30012271",0,0.607132819940455,0.659,0.161,0,3,"Kynurenine/alpha-aminoadipate aminotransferase mitochondrial kat/aadat kynurenine--oxoglutarate transaminase ii kynurenine aminotransferase ii kynurenine--oxoglutarate aminotransferase ii transaminase","Protonephridia"
"SMED30012288",0,0.514606901354599,0.362,0.018,0,5,"Pol polyprotein","Cathepsin"
"SMED30012288",0,0.539663293518177,0.367,0.028,0,45,"Pol polyprotein","Cathepsin"
"SMED30012309",1.199903866404e-109,-0.299833973150338,0.838,0.894,4.03995632779562e-105,19,NA,"Neural"
"SMED30012309",1.13499417267178e-35,-0.264017218418641,0.868,0.894,3.82141187996861e-31,38,NA,"Neural"
"SMED30012309",3.6623064173913e-20,0.344077248332733,0.944,0.894,1.23306194767148e-15,83,NA,"Pharynx"
"SMED30012309",3.96009357228617e-90,-0.407164013527554,0.812,0.894,1.33332390485303e-85,41,NA,"Neural"
"SMED30012309",0,-0.549305127019825,0.753,0.899,0,7,NA,"Neural"
"SMED30012309",1.80698473984296e-47,-0.379157825289631,0.813,0.894,6.08393692057726e-43,60,NA,"Neural"
"SMED30012309",2.38858062497934e-121,-0.41973943045549,0.803,0.894,8.04211210624295e-117,29,NA,"Neural"
"SMED30012309",0,-0.444115663387928,0.78,0.896,0,12,NA,"Neural"
"SMED30012309",1.15066966415918e-35,0.322223715328527,0.94,0.894,3.87418969225755e-31,43,NA,"Parenchymal"
"SMED30012309",4.64465780185834e-151,0.328425659839717,0.95,0.893,1.56380983530769e-146,23,NA,"Protonephridia"
"SMED30012309",0,0.750026754150286,0.994,0.888,0,4,NA,"Stem Cells"
"SMED30012309",9.20766631499617e-120,-0.301280632106443,0.909,0.893,3.10012917159606e-115,9,NA,"Muscle"
"SMED30012309",4.60264649889512e-128,-0.475814346759295,0.781,0.894,1.549665049713e-123,35,NA,"Neural"
"SMED30012309",1.96681337250913e-33,-0.448856683432293,0.813,0.894,6.622063943901e-29,79,NA,"Neural"
"SMED30012309",2.02895119989873e-144,-0.388099663827726,0.8,0.895,6.83127579493902e-140,26,NA,"Neural"
"SMED30012309",1.7969301770618e-42,-0.43023592271264,0.807,0.894,6.05008421314937e-38,66,NA,"Parenchymal"
"SMED30012309",0,0.661854174392658,0.983,0.892,0,13,NA,"Epidermis"
"SMED30012309",1.45086045348198e-49,0.561410874703011,0.937,0.894,4.88490206082848e-45,69,NA,"Parenchymal"
"SMED30012309",4.18914951842902e-34,-0.399680981017103,0.81,0.894,1.41044475135987e-29,71,NA,"Neural"
"SMED30012309",0,-0.545799107905124,0.741,0.896,0,20,NA,"Neural"
"SMED30012309",7.45225869442873e-38,-0.293943549165678,0.845,0.894,2.50910097982721e-33,47,NA,"Neural"
"SMED30012309",3.7238714948354e-58,-0.38279504161686,0.818,0.894,1.25379029359613e-53,45,NA,"Cathepsin"
"SMED30012309",1.13042403286504e-50,-0.361222108770299,0.834,0.894,3.8060246762533e-46,48,NA,"Neural"
"SMED30012309",1.84550503839476e-39,-0.37996184781299,0.832,0.894,6.21363091377131e-35,62,NA,"Neural"
"SMED30012309",1.58795649603084e-17,-0.368916592630373,0.793,0.894,5.34649072648624e-13,85,NA,"Neural"
"SMED30012309",6.24506698140805e-69,0.28076144888196,0.959,0.894,2.10265160197028e-64,56,NA,"Neural"
"SMED30012309",4.23607244258936e-23,-0.281154937605612,0.85,0.894,1.42624323069541e-18,61,NA,"Neural"
"SMED30012309",0,0.465631419855985,0.956,0.893,0,17,NA,"Epidermis"
"SMED30012309",2.48563326991642e-77,-0.441971885278247,0.782,0.894,8.3688786564816e-73,51,NA,"Neural"
"SMED30012309",3.34816637092879e-28,0.562763415055808,0.952,0.894,1.12729413542801e-23,86,NA,"Neural"
"SMED30012309",2.08623070844104e-42,-0.311447384784006,0.814,0.894,7.02413017225015e-38,54,NA,"Neural"
"SMED30012309",1.13484860791728e-85,-0.490314769674207,0.784,0.894,3.82092177799668e-81,52,NA,"Neural"
"SMED30012309",1.32305164864836e-67,0.328248065535371,0.908,0.894,4.45458259583416e-63,15,NA,"Intestine"
"SMED30012356",0,0.275687626729896,0.184,0.001,0,40,NA,"Intestine"
"SMED30012368",0,0.253756575276319,0.283,0.029,0,26,"Prominin-1","Neural"
"SMED30012371",0,1.24579763757129,0.632,0.005,0,66,"Calumenin-B","Parenchymal"
"SMED30012371",0,0.814261806742935,0.878,0.005,0,78,"Calumenin-B","Parenchymal"
"SMED30012409",0,0.5225232775003,0.544,0.141,0,11,NA,"Protonephridia"
"SMED30012409",0,0.354179050302059,0.429,0.124,0,2,NA,"Epidermis"
"SMED30012409",0,0.440563191225729,0.543,0.128,0,3,NA,"Protonephridia"
"SMED30012447",0,0.471065196692029,0.377,0.084,0,50,"Filamin-A","Neural"
"SMED30012451",0,0.985914048190981,0.429,0.015,0,6,NA,"Intestine"
"SMED30012483",1.24475133036773e-212,0.30693405806759,0.5,0.235,4.19095325421512e-208,29,NA,"Neural"
"SMED30012514",0,0.280253421264625,0.301,0.045,0,19,"Beta-hexosaminidase subunit beta","Neural"
"SMED30012522",0,-0.306104312445633,0.127,0.314,0,2,"Ankyrin-2","Epidermis"
"SMED30012522",0,-0.339279182415,0.095,0.31,0,3,"Ankyrin-2","Protonephridia"
"SMED30012522",7.45207001275437e-102,0.306348973655595,0.512,0.297,2.50903745259427e-97,38,"Ankyrin-2","Neural"
"SMED30012522",0,0.363605740480497,0.673,0.291,0,12,"Ankyrin-2","Neural"
"SMED30012522",7.40594314604757e-198,0.581186185621875,0.677,0.297,2.49350699784276e-193,59,"Ankyrin-2","Neural"
"SMED30012522",1.74857569597824e-160,0.466927443524358,0.625,0.297,5.88727951078915e-156,53,"Ankyrin-2","Neural"
"SMED30012522",2.68646932369386e-54,0.491014758558214,0.651,0.298,9.04507356594486e-50,85,"Ankyrin-2","Neural"
"SMED30012522",3.22819558962011e-110,0.379003315652842,0.584,0.297,1.0869011730692e-105,54,"Ankyrin-2","Neural"
"SMED30012522",0,0.681993749005116,0.728,0.297,0,51,"Ankyrin-2","Neural"
"SMED30012522",3.11308024512701e-118,0.696787989087902,0.692,0.298,1.04814298773181e-113,81,"Ankyrin-2","Neural"
"SMED30012522",5.70432275451847e-136,-0.280305989434631,0.129,0.301,1.92058842821882e-131,17,"Ankyrin-2","Epidermis"
"SMED30012522",9.55588917296619e-149,0.445172160258174,0.653,0.297,3.21737232564599e-144,60,"Ankyrin-2","Neural"
"SMED30012522",1.11385926348778e-162,0.397569233364637,0.62,0.297,3.75025275423701e-158,47,"Ankyrin-2","Neural"
"SMED30012522",5.84665168291357e-206,0.314501309823873,0.638,0.296,1.96850915512017e-201,37,"Ankyrin-2","Neural"
"SMED30012522",1.43720446982739e-27,-0.28264934710097,0.123,0.299,4.83892372946185e-23,66,"Ankyrin-2","Parenchymal"
"SMED30012522",2.63506308251864e-52,0.403909986189263,0.527,0.298,8.87199389253202e-48,70,"Ankyrin-2","Neural"
"SMED30012522",0,0.502010155822168,0.622,0.296,0,28,"Ankyrin-2","Neural"
"SMED30012522",3.13731774911234e-89,0.453351142139733,0.677,0.298,1.05630351294864e-84,79,"Ankyrin-2","Neural"
"SMED30012522",0,0.280178212023078,0.609,0.288,0,7,"Ankyrin-2","Neural"
"SMED30012522",0,0.776352840266802,0.772,0.294,0,26,"Ankyrin-2","Neural"
